plateifu,iauname,objra,objdec
10001-12701,J085329.03+573554.9,133.371090612,57.5984251446
10001-12702,J085444.56+572848.8,133.685669869,57.4802503218
10001-12703,J090404.13+570532.3,136.017159969,57.0923291779
10001-12704,J085557.56+574040.6,133.989966869,57.6779676669
10001-12705,J090700.33+572705.1,136.75137451,57.4514369241
10001-1901,J085319.20+570228.0,133.330028009,57.0411553708
10001-1902,J085646.52+564712.2,134.193923352,56.7867469988
10001-3701,J084951.74+570837.4,132.465646765,57.1437279024
10001-3702,J085139.06+570626.6,132.912768243,57.1074235568
10001-3703,J085821.95+574105.9,134.591498946,57.6849653262
10001-3704,J085938.50+565244.0,134.910466734,56.8788941639
10001-6101,J090809.86+572524.9,137.041133755,57.4236117812
10001-6102,J085036.94+572134.7,132.653991697,57.3596675436
10001-6103,J085601.94+572327.4,134.008123053,57.3909643699
10001-6104,J090629.68+564747.0,136.623724313,56.7963948252
10001-9101,J085530.75+573352.3,133.87809679,57.5645448676
10001-9102,J090316.36+563731.4,135.818210094,56.6253848319
10141-12701,-9999,56.702338,68.096625
10141-12702,-9999,56.63212,68.149125
10141-12703,-9999,56.790111,68.145375
10141-12704,-9999,56.614565,68.047875
10141-12705,-9999,56.772556,68.044125
10141-1901,-9999,57.665758,68.070567
10141-1902,-9999,55.739921,68.084972
10141-3701,-9999,57.050938,68.441033
10141-3702,-9999,55.867567,68.274656
10141-3703,-9999,56.232562,67.787128
10141-3704,-9999,57.448929,67.889014
10141-6101,-9999,57.418721,68.367169
10141-6102,-9999,56.194842,68.453178
10141-6103,-9999,55.806779,67.918458
10141-6104,-9999,57.100883,67.770444
10141-9101,-9999,56.559695,68.104958
10141-9102,-9999,56.844981,68.088292
10142-12701,-9999,56.719893,68.100375
10142-12702,-9999,56.649674,68.152875
10142-12703,-9999,56.807665,68.149125
10142-12704,-9999,56.63212,68.051625
10142-12705,-9999,56.790111,68.047875
10142-1901,-9999,57.665758,68.070567
10142-1902,-9999,55.739921,68.084972
10142-3701,-9999,57.050938,68.441033
10142-3702,-9999,55.867567,68.274656
10142-3703,-9999,56.232562,67.787128
10142-3704,-9999,57.448929,67.889014
10142-6101,-9999,57.418721,68.367169
10142-6102,-9999,56.194842,68.453178
10142-6103,-9999,55.806779,67.918458
10142-6104,-9999,57.100883,67.770444
10142-9101,-9999,56.574649,68.108153
10142-9102,-9999,56.859935,68.091486
10143-12701,-9999,56.702338,68.104125
10143-12702,-9999,56.63212,68.156625
10143-12703,-9999,56.790111,68.152875
10143-12704,-9999,56.614565,68.055375
10143-12705,-9999,56.772556,68.051625
10143-1901,-9999,57.665758,68.070567
10143-1902,-9999,55.739921,68.084972
10143-3701,-9999,57.050938,68.441033
10143-3702,-9999,55.867567,68.274656
10143-3703,-9999,56.232562,67.787128
10143-3704,-9999,57.448929,67.889014
10143-6101,-9999,57.418721,68.367169
10143-6102,-9999,56.194842,68.453178
10143-6103,-9999,55.806779,67.918458
10143-6104,-9999,57.100883,67.770444
10143-9101,-9999,56.559695,68.111347
10143-9102,-9999,56.844981,68.094681
10144-12701,-9999,56.684783,68.100375
10144-12702,-9999,56.614565,68.152875
10144-12703,-9999,56.772556,68.149125
10144-12704,-9999,56.597011,68.051625
10144-12705,-9999,56.755002,68.047875
10144-1901,-9999,57.665758,68.070567
10144-1902,-9999,55.739921,68.084972
10144-3701,-9999,57.050938,68.441033
10144-3702,-9999,55.867567,68.274656
10144-3703,-9999,56.232562,67.787128
10144-3704,-9999,57.448929,67.889014
10144-6101,-9999,57.418721,68.367169
10144-6102,-9999,56.194842,68.453178
10144-6103,-9999,55.806779,67.918458
10144-6104,-9999,57.100883,67.770444
10144-9101,-9999,56.544741,68.108153
10144-9102,-9999,56.830027,68.091486
10145-12701,-9999,56.684783,68.092875
10145-12702,-9999,56.614565,68.145375
10145-12703,-9999,56.772556,68.141625
10145-12704,-9999,56.597011,68.044125
10145-12705,-9999,56.755002,68.040375
10145-1901,-9999,57.665758,68.070567
10145-1902,-9999,55.739921,68.084972
10145-3701,-9999,57.050938,68.441033
10145-3702,-9999,55.867567,68.274656
10145-3703,-9999,56.232562,67.787128
10145-3704,-9999,57.448929,67.889014
10145-6101,-9999,57.418721,68.367169
10145-6102,-9999,56.194842,68.453178
10145-6103,-9999,55.806779,67.918458
10145-6104,-9999,57.100883,67.770444
10145-9101,-9999,56.544741,68.101764
10145-9102,-9999,56.830027,68.085097
10146-12701,-9999,56.702338,68.089125
10146-12702,-9999,56.63212,68.141625
10146-12703,-9999,56.790111,68.137875
10146-12704,-9999,56.614565,68.040375
10146-12705,-9999,56.772556,68.036625
10146-1901,-9999,57.665758,68.070567
10146-1902,-9999,55.739921,68.084972
10146-3701,-9999,57.050938,68.441033
10146-3702,-9999,55.867567,68.274656
10146-3703,-9999,56.232562,67.787128
10146-3704,-9999,57.448929,67.889014
